Funder Name,Funder State,Grantee Name,Grantee City,Grantee State,Year(s),Grant Amount,Types(s) of Support,Description
"Walton Family Foundation, Inc.",Arkansas; United States,Los Angeles Parents Union,Los Angeles,California; United States,2010,"$500,000",Continuing support,
"Walton Family Foundation, Inc.",Arkansas; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2008,"$230,000",Program development,For College Ready Middle Academy No. 3
"Walton Family Foundation, Inc.",Arkansas; United States,Los Angeles Parents Union,Los Angeles,California; United States,2009,"$100,000",,
"Walton Family Foundation, Inc.",Arkansas; United States,American Center for School Choice,Berkeley,California; United States,2010,"$60,000",,
"Walton Family Foundation, Inc.",Arkansas; United States,American Center for School Choice,Berkeley,California; United States,2011,"$40,000",Continuing support,
Wasserman Foundation,California; United States,Los Angeles Parents Union,Los Angeles,California; United States,2010,"$500,000",,
Weingart Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2007,"$2,500,000",Building/renovation; Equipment,"For capital support of construction, renovation and school purchases"
Weingart Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2006,"$1,000,000",Building/renovation; Program development,To consolidate school sites and administrative offices into one permanent location
Weingart Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2011,"$500,000",Building/renovation,For capital support for new school building
Weingart Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2011,"$500,000",Building/renovation,For capital support for new school building
Weingart Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2005,"$250,000",Seed money,For start-up support for new charter school
Wells Fargo Foundation,California; United States,Parents for Public Schools,San Francisco,California; United States,2004,"$25,000",,
Wilbur May Foundation,Nevada; United States,Los Angeles Educational Alliance for Restructuring Now,Los Angeles,California; United States,2005,"$250,000",Awards/prizes/competitions,For Anne and Kirk Douglas Playground Awards
Wilbur May Foundation,Nevada; United States,Los Angeles Educational Alliance for Restructuring Now,Los Angeles,California; United States,2005,"$250,000",Continuing support,
Wilbur May Foundation,Nevada; United States,Los Angeles Educational Alliance for Restructuring Now,Los Angeles,California; United States,2004,"$250,000",,
William T. Grant Foundation,New York; United States,University of California at San Diego,La Jolla,California; United States,2011,"$559,916",Research,For Understanding Social Network Structure in Schools Under Corrective Action: A Longitudinal Comparative Analysis of Research Use and Diffusion in Urban Districts
